STK_CODE,STK_NAME,STK_LIST,STK_100PC,FORE_SELL,FORE_BUY
LMPI,Langgeng Makmur Industri Tbk.,1008517669,1008517669,0,0
LMSH,Lionmesh Prima Tbk.,96000000,96000000,0,0
LPCK,Lippo Cikarang Tbk,2679600000,2679600000,294100,0
LPGI,Lippo General Insurance Tbk.,150000000,150000000,0,0
LPIN,Multi Prima Sejahtera Tbk,425000000,425000000,0,0
LPKR,Lippo Karawaci Tbk.,70898018369,70898018369,15833200,544800
LPLI,Star Pacific Tbk,1170432803,1170432803,0,0
LPPF,Matahari Department Store Tbk.,2804883280,2804883280,2106000,997200
LPPS,Lippo Securities Tbk.,2588250000,2588250000,0,0
LRNA,Eka Sari Lorena Transport Tbk.,350000022,350000022,0,0
LSIP,PP London Sumatra Indonesia Tbk.,6822863965,6822863965,220900,455500
LTLS,Lautan Luas Tbk.,1560000000,1560000000,0,0
LUCK,Sentral Mitra Informatika Tbk.,715749640,715749640,0,0
MABA,Marga Abhinaya Abadi Tbk.,15365229912,15365229912,0,0
MAGP,Multi Agro Gemilang Plantation Tbk.,9000000004,9000000004,0,0
MAIN,Malindo Feedmill Tbk.,2238750000,2238750000,0,73600
MAMI,Mas Murni Indonesia Tbk,12299116331,12299116331,0,0
MAMIP,Mas Murni Tbk (Saham Preferen),6000000,6000000,0,0
MAPA,Map Aktif Adiperkasa Tbk.,2850400000,2850400000,48200,51100
MAPB,MAP Boga Adiperkasa Tbk.,2170922900,2170922900,0,0
MAPI,Mitra Adiperkasa Tbk.,16600000000,16600000000,2970000,259100
MARI,Mahaka Radio Integra Tbk.,5252644000,5252644000,0,0
MARK,Mark Dynamics Indonesia Tbk.,3800000310,3800000310,0,0
MASA,Multistrada Arah Sarana Tbk.,9182946945,9182946945,0,0
MAYA,Bank Mayapada Internasional Tbk.,6764086593,6764086593,0,0
MBAP,Mitrabara Adiperdana Tbk.,1227271952,1227271952,3100,0
MBSS,Mitrabahtera Segara Sejati Tbk.,1750026639,1750026639,0,0
MBTO,Martina Berto Tbk.,1070000000,1070000000,25000,0
MCAS,M Cash Integrasi Tbk.,867933300,867933300,21200,1000
MCOR,Bank China Construction Bank Indonesia T,16465148150,16465148150,0,0
MDIA,Intermedia Capital Tbk.,39215538400,39215538400,0,0
MDKA,Merdeka Copper Gold Tbk.,21897591650,21897591650,135100,16047900
MDKI,Emdeki Utama Tbk.,2530150002,2530150002,0,0
MDLN,Modernland Realty Tbk.,12533067322,12533067322,1894800,438700
MDRN,Modern Internasional Tbk.,7632167798,7632167798,0,0
MEDC,Medco Energi Internasional Tbk.,17920453606,17920453606,5268900,495300
MEGA,Bank Mega Tbk.,6894138227,6894138227,0,0
MERK,Merck Tbk.,448000000,448000000,0,0
META,Nusantara Infrastructure Tbk.,17710708194,17710708194,0,0
MFIN,Mandala Multifinance Tbk.,2650000000,2650000000,0,0
MFMI,Multifiling Mitra Indonesia Tbk.,757581000,757581000,0,0
MGNA,Magna Investama Mandiri Tbk.,1003080977,1003080977,0,0
MGRO,Mahkota Group Tbk.,3554445700,3554445700,0,0
MICE,Multi Indocitra Tbk.,600000000,600000000,500,0
MIDI,Midi Utama Indonesia Tbk.,2882353000,2882353000,0,0
MIKA,Mitra Keluarga Karyasehat Tbk.,14246349500,14246349500,2358300,105800
MINA,Sanurhasta Mitra Tbk.,6562500000,6562500000,0,0
MIRA,Mitra International Resources Tbk.,3961452039,3961452039,0,0
MITI,Mitra Investindo Tbk.,1411550800,1411550800,0,0
MKNT,Mitra Komunikasi Nusantara Tbk.,5000000000,5000000000,0,0
MKPI,Metropolitan Kentjana Tbk.,948194000,948194000,0,0
MLBI,Multi Bintang Indonesia Tbk.,2107000000,2107000000,0,0
MLIA,Mulia Industrindo Tbk,1323000000,1323000000,384100,0
MLPL,Multipolar Tbk.,14639632470,14639632470,3274900,0
MLPT,Multipolar Technology Tbk.,1875000000,1875000000,92400,0
MMLP,Mega Manunggal Property Tbk.,6889134608,6889134608,68900,0
MNCN,Media Nusantara Citra Tbk.,14276103500,14276103500,11825000,7361400
MOLI,Madusari Murni Indah Tbk.,2334888498,2334888498,0,0
MPMX,Mitra Pinasthika Mustika Tbk.,4462963276,4462963276,21600,0
MPOW,Megapower Makmur Tbk.,816997053,816997053,0,0
MPPA,Matahari Putra Prima Tbk.,7529147920,7529147920,0,0
MPRO,Maha Properti Indonesia Tbk.,9942500000,9942500000,100,0
MRAT,Mustika Ratu Tbk.,428000000,428000000,0,0
MREI,Maskapai Reasuransi Indonesia Tbk.,517791681,517791681,0,0
MSIN,MNC Studios International Tbk.,5202000000,5202000000,2700,16400
MSKY,MNC Sky Vision Tbk.,1994370480,1994370480,100,100
MTDL,Metrodata Electronics Tbk.,2455376917,2455376917,811300,561600
MTFN,Capitalinc Investment Tbk.,31842082852,31842082852,0,0
MTLA,Metropolitan Land Tbk.,7655126330,7655126330,0,0
MTPS,Meta Epsi Tbk.,2084774979,2084774979,0,0
MTRA,Mitra Pemuda Tbk.,770000000,770000000,100,0
MTSM,Metro Realty Tbk.,232848000,232848000,0,0
MTWI,Malacca Trust Wuwungan Insurance Tbk.,1525819116,1525819116,0,0
MYOH,Samindo Resources Tbk.,2206312500,2206312500,277000,8000
MYOR,Mayora Indah Tbk.,22358699725,22358699725,137100,11200
MYRX,Hanson International Tbk.,86703220792,86703220792,0,0
MYRXP,Saham Seri B Hanson International Tbk.,1120995000,1120995000,0,0
MYTX,Asia Pacific Investama Tbk.,7747281949,7747281949,0,0
NASA,Ayana Land International Tbk.,11004929322,11004929322,23900,0
NATO,Nusantara Properti Internasional Tbk.,8000992900,8000992900,0,2517700
NELY,Pelayaran Nelly Dwi Putri Tbk.,2350000000,2350000000,0,0
NFCX,NFC Indonesia Tbk.,666667500,666667500,0,0
NICK,Charnic Capital Tbk.,651150000,651150000,0,0
NIKL,Pelat Timah Nusantara Tbk.,2523350000,2523350000,158200,113200
NIPS,Nipress Tbk.,1635333332,1635333332,0,0
NIRO,City Retail Developments Tbk.,22198871804,22198871804,0,0
NISP,Bank OCBC NISP Tbk.,22715776032,22715776032,0,0
NOBU,Bank Nationalnobu Tbk.,4393533177,4393533177,0,0
NRCA,Nusa Raya Cipta Tbk.,2496258344,2496258344,0,1400000
NUSA,Sinergi Megah Internusa Tbk.,7700000115,7700000115,0,0
NZIA,Nusantara Almazia Tbk.,2197538000,2197538000,400,0
OASA,Protech Mitra Perkasa Tbk.,358600000,358600000,0,0
OCAP,Onix Capital Tbk.,273200000,273200000,0,0
OKAS,Ancora Indonesia Resources Tbk.,1765927777,1765927777,0,0
OMRE,Indonesia Prima Property Tbk,1745000000,1745000000,0,0
OPMS,Optima Prima Metal Sinergi Tbk.,1000000000,1000000000,0,0
PADI,Minna Padi Investama Sekuritas Tbk.,11307246524,11307246524,0,0
PALM,Provident Agro Tbk.,7119540356,7119540356,0,0
PAMG,Bima Sakti Pertiwi Tbk.,3125000000,3125000000,0,0
PANI,Pratama Abadi Nusa Industri Tbk.,410000000,410000000,0,0
PANR,Panorama Sentrawisata Tbk.,1200000000,1200000000,0,0
PANS,Panin Sekuritas Tbk.,720000000,720000000,0,0
PBID,Panca Budi Idaman Tbk.,1875000000,1875000000,0,0
PBRX,Pan Brothers Tbk.,6478295611,6478295611,20000,0
PBSA,Paramita Bangun Sarana Tbk.,1500000000,1500000000,0,0
PCAR,Prima Cakrawala Abadi Tbk.,1166666700,1166666700,200,0
PDES,Destinasi Tirta Nusantara Tbk,715000000,715000000,0,0
PEGE,Panca Global Kapital Tbk.,2833417056,2833417056,0,0
PEHA,Phapros Tbk.,840000000,840000000,0,0
PGAS,Perusahaan Gas Negara Tbk.,24241508196,24241508196,9141680,11690200
PGJO,Tourindo Guide Indonesia Tbk.,306250000,306250000,0,1100
PGLI,Pembangunan Graha Lestari Indah Tbk.,488000000,488000000,0,0
PICO,Pelangi Indah Canindo Tbk,568375000,568375000,1000,1000
PJAA,Pembangunan Jaya Ancol Tbk.,1599999996,1599999996,0,0
PKPK,Perdana Karya Perkasa Tbk,600000000,600000000,0,0
PLAS,Polaris Investama Tbk,1184200000,1184200000,0,0
PLIN,Plaza Indonesia Realty Tbk.,3550000000,3550000000,0,0
PMJS,Putra Mandiri Jembar Tbk.,13755600000,13755600000,0,0
PNBN,Bank Pan Indonesia Tbk,23837645998,23837645998,137100,2007600
PNBS,Bank Panin Dubai Syariah Tbk.,23719447472,23719447472,0,0
PNIN,Paninvest Tbk.,4068323920,4068323920,0,1700
PNLF,Panin Financial Tbk.,32022073293,32022073293,823200,0
PNSE,Pudjiadi & Sons Tbk.,797813496,797813496,0,0
POLA,Pool Advista Finance Tbk.,2727886300,2727886300,0,0
POLI,Pollux Investasi Internasional Tbk.,2010526400,2010526400,0,0
POLL,Pollux Properti Indonesia Tbk.,8318823600,8318823600,4800,0
POLU,Golden Flower Tbk.,750000000,750000000,0,0
POLY,Asia Pacific Fibers Tbk,2495753334,2495753334,150000,0
POOL,Pool Advista Indonesia Tbk.,2341366164,2341366164,0,0
PORT,Nusantara Pelabuhan Handal Tbk.,2813941985,2813941985,0,0
