GDYR,2020-02-07,0,0,0,1950,0,0,0,0,0,0
GEMA,2020-02-07,0,370,370,370,30000,11100000,0,0,0,0
GEMS,2020-02-07,0,0,0,2550,0,0,0,0,0,0
GGRM,2020-02-07,0,56700,56075,56375,1078600,60784982500,0,0,0,0
GGRP,2020-02-07,0,450,440,440,3200,1420000,0,0,0,0
GHON,2020-02-07,0,1255,1255,1255,500,627500,0,0,0,0
GIAA,2020-02-07,0,402,386,386,59034200,23134076000,0,0,0,0
GJTL,2020-02-07,0,496,490,492,682900,335934800,0,0,0,0
GLOB,2020-02-07,0,388,382,388,200,77000,0,0,0,0
GLVA,2020-02-07,0,270,246,252,240400,62758400,0,0,0,0
GMFI,2020-02-07,0,112,109,110,3690000,406708600,0,0,0,0
GMTD,2020-02-07,0,16000,16000,16000,600,9600000,0,0,0,0
GOLD,2020-02-07,0,222,222,222,118000,26196000,0,0,0,0
GOLL,2020-02-07,0,0,0,50,0,0,0,0,0,0
GOOD,2020-02-07,0,1345,1335,1345,311000,416915500,0,0,0,0
GPRA,2020-02-07,0,60,51,60,7512400,411656500,0,0,0,0
GREN,2020-02-07,0,0,0,328,0,0,0,0,0,0
GSMF,2020-02-07,0,0,0,117,0,0,0,0,0,0
GTBO,2020-02-07,0,0,0,125,0,0,0,0,0,0
GWSA,2020-02-07,0,0,0,135,0,0,0,0,0,0
GZCO,2020-02-07,0,50,50,50,500,25000,0,0,0,0
HADE,2020-02-07,0,0,0,50,0,0,0,0,0,0
HDFA,2020-02-07,0,0,0,111,0,0,0,0,0,0
HDIT,2020-02-07,0,600,585,595,4100,2426000,0,0,0,0
HDTX,2020-02-07,0,0,0,120,0,0,0,0,0,0
HEAL,2020-02-07,0,3450,3190,3230,667400,2152692000,0,0,0,0
HELI,2020-02-07,0,171,171,171,30000,5130000,0,0,0,0
HELI-W,2020-02-07,0,13,13,13,12500,162500,0,0,0,0
HERO,2020-02-07,0,0,0,850,0,0,0,0,0,0
HEXA,2020-02-07,0,3180,3110,3140,13300,41866000,0,0,0,0
HITS,2020-02-07,0,0,0,580,0,0,0,0,0,0
HKMU,2020-02-07,0,166,160,165,808700,131660900,0,0,0,0
HMSP,2020-02-07,0,2070,2030,2030,27703800,56604795000,0,0,0,0
HOKI,2020-02-07,0,900,875,895,24489500,21720755500,0,0,0,0
HOKI-W,2020-02-07,0,620,620,620,115300,71486000,0,0,0,0
HOME,2020-02-07,0,0,0,50,0,0,0,0,0,0
HOTL,2020-02-07,0,99,80,95,21399500,1947483300,0,0,0,0
HRME,2020-02-07,0,1140,1085,1130,43279900,48006943000,0,0,0,0
HRTA,2020-02-07,0,280,270,270,843200,230355800,0,0,0,0
HRUM,2020-02-07,0,1270,1250,1255,188500,236163000,0,0,0,0
