BDMN,Bank Danamon Indonesia Tbk.
BEEF,Estika Tata Tiara Tbk.
BEEF-W,Waran Seri I Estika Tata Tiara Tbk.
BEKS,Bank Pembangunan Daerah Banten Tbk.
BELL,Trisula Textile Industries Tbk.
BEST,Bekasi Fajar Industrial Estate Tbk.
BFIN,BFI Finance  Indonesia Tbk.
BGTG,Bank Ganesha Tbk.
BHIT,MNC Investama Tbk.
BIKA,Binakarya Jaya Abadi Tbk.
BIMA,Primarindo Asia Infrastructure Tbk.
BINA,Bank Ina Perdana Tbk.
BIPI,Astrindo Nusantara Infrastruktur Tbk.
BIPI-W,Waran Seri II Astrindo Nusantara Infrast
BIPP,Bhuwanatala Indah Permai Tbk.
BIPP-W2,Waran Seri IV Bhuwanatala Indah Permai T
BIRD,Blue Bird Tbk.
BISI,BISI International Tbk.
BJBR,Bank Pembangunan Daerah Jawa Barat dan B
BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.
BKDP,Bukit Darmo Property Tbk
BKSL,Sentul City Tbk.
BKSL-W,Waran Seri I Sentul City Tbk.
BKSW,Bank QNB Indonesia Tbk.
BLTA,Berlian Laju Tanker Tbk
BLTZ,Graha Layar Prima Tbk.
BLUE,Berkah Prima Perkasa Tbk.
BMAS,Bank Maspion Indonesia Tbk.
BMRI,Bank Mandiri (Persero) Tbk.
BMSR,Bintang Mitra Semestaraya Tbk
BMTR,Global Mediacom Tbk.
BNBA,Bank Bumi Arta Tbk.
BNBR,Bakrie & Brothers Tbk
BNGA,Bank CIMB Niaga Tbk.
BNII,Bank Maybank Indonesia Tbk.
BNLI,Bank Permata Tbk.
BOGA,Bintang Oto Global Tbk.
BOLA,Bali Bintang Sejahtera Tbk.
BOLT,Garuda Metalindo Tbk.
BOSS,Borneo Olah Sarana Sukses Tbk.
BPFI,Batavia Prosperindo Finance Tbk.
BPII,Batavia Prosperindo Internasional Tbk.
BPTR,Batavia Prosperindo Trans Tbk.
BRAM,Indo Kordsa Tbk.
BRIS,Bank BRIsyariah Tbk.
BRMS,Bumi Resources Minerals Tbk.
BRNA,Berlina Tbk.
BRPT,Barito Pacific Tbk.
BRPT-W,Waran Seri I Barito Pacific Tbk.
BSDE,Bumi Serpong Damai Tbk.
BSIM,Bank Sinarmas Tbk.
BSIM-W3,Waran Seri III Bank Sinarmas Tbk.
BSSR,Baramulti Suksessarana Tbk.
BSWD,Bank Of India Indonesia Tbk.
BTEK,Bumi Teknokultura Unggul Tbk
BTEL,Bakrie Telecom Tbk.
BTON,Betonjaya Manunggal Tbk.
BTPN,Bank BTPN Tbk.
BTPS,Bank Tabungan Pensiunan Nasional Syariah
BUDI,Budi Starch & Sweetener Tbk.
BUKK,Bukaka Teknik Utama Tbk.
BULL,Buana Lintas Lautan Tbk.
BULL-W,Waran Seri II Buana Lintas Lautan Tbk.
BULL-W2,Waran Seri IV Buana Lintas Lautan Tbk.
BUMI,Bumi Resources Tbk.
BUVA,Bukit Uluwatu Villa Tbk.
BVIC,Bank Victoria International Tbk.
BWPT,Eagle High Plantations Tbk.
BYAN,Bayan Resources Tbk.
CAKK,Cahayaputra Asa Keramik Tbk.
CAKK-W,Waran Seri I Cahayaputra Asa Keramik Tbk
CAMP,Campina Ice Cream Industry Tbk.
CANI,Capitol Nusantara Indonesia Tbk.
CARS,Industri dan Perdagangan Bintraco Dharma
CASA,Capital Financial Indonesia Tbk.
CASA-W,Waran Seri I Capital Financial Indonesia
CASS,Cardig Aero Services Tbk.
CCSI,Communication Cable Systems Indonesia Tb
CEKA,Wilmar Cahaya Indonesia Tbk.
CENT,Centratama Telekomunikasi Indonesia Tbk.
CFIN,Clipan Finance Indonesia Tbk.
CINT,Chitose Internasional Tbk.
CITA,Cita Mineral Investindo Tbk.
CITY,Natura City Developments Tbk.
CITY-W,Waran Seri I Natura City Developments Tb
CKRA,Cakra Mineral Tbk.
CLAY,Citra Putra Realty Tbk.
CLEO,Sariguna Primatirta Tbk.
CLPI,Colorpak Indonesia Tbk.
CMNP,Citra Marga Nusaphala Persada Tbk.
CMPP,AirAsia Indonesia Tbk.
CNKO,Exploitasi Energi Indonesia Tbk.
CNTB,Saham Seri B ( Centex Tbk )
CNTX,Century Textile Industry Tbk.
COCO,Wahana Interfood Nusantara Tbk.
COCO-W,Waran Seri I Wahana Interfood Nusantara
COWL,Cowell Development Tbk.
CPIN,Charoen Pokphand Indonesia Tbk
CPRI,Capri Nusa Satu Properti Tbk.
CPRI-W,Waran Seri I Capri Nusa Satu Properti Tb
CPRO,Central Proteina Prima Tbk.
CSAP,Catur Sentosa Adiprana Tbk.
CSIS,Cahayasakti Investindo Sukses Tbk.
CSRA,Cisadane Sawit Raya Tbk.
CTBN,Citra Tubindo Tbk.
CTRA,Ciputra Development Tbk.
CTTH,Citatah Tbk.
DART,Duta Anggada Realty Tbk.
DAYA,Duta Intidaya Tbk.
DEAL,Dewata Freightinternational Tbk.
DEAL-W,Waran Seri I Dewata Freightinternational
DEFI,Danasupra Erapacific Tbk.
DEWA,Darma Henwa Tbk
DFAM,Dafam Property Indonesia Tbk.
DFAM-W,Waran Seri I Dafam Property Indonesia Tb
DGIK,Nusa Konstruksi Enjiniring Tbk.
DIGI,Arkadia Digital Media Tbk.
DILD,Intiland Development Tbk.
DIVA,Distribusi Voucher Nusantara Tbk.
DKFT,Central Omega Resources Tbk.
DLTA,Delta Djakarta Tbk.
DMAS,Puradelta Lestari Tbk.
DMMX,Digital Mediatama Maxima Tbk.
DMND,Diamond Food Indonesia Tbk.
DNAR,Bank Oke Indonesia Tbk.
DNET,Indoritel Makmur Internasional Tbk.
DOID,Delta Dunia Makmur Tbk.
DPNS,Duta Pertiwi Nusantara Tbk.
DPUM,Dua Putra Utama Makmur Tbk.
DSFI,Dharma Samudera Fishing Industries Tbk.
DSNG,Dharma Satya Nusantara Tbk.
DSSA,Dian Swastatika Sentosa Tbk
DUCK,Jaya Bersama Indo Tbk.
DUTI,Duta Pertiwi Tbk
DVLA,Darya-Varia Laboratoria Tbk.
DWGL,Dwi Guna Laksana Tbk.
DWGL-W,Waran Seri I Dwi Guna Laksana Tbk.
DYAN,Dyandra Media International Tbk.
EAST,Eastparc Hotel Tbk.
EAST-W,Waran Seri I Eastparc Hotel Tbk.
ECII,Electronic City Indonesia Tbk.
EKAD,Ekadharma International Tbk.
ELSA,Elnusa Tbk.
ELTY,Bakrieland Development Tbk.
EMDE,Megapolitan Developments Tbk.
EMTK,Elang Mahkota Teknologi Tbk.
ENRG,Energi Mega Persada Tbk.
ENVY,Envy Technologies Indonesia Tbk.
EPMT,Enseval Putera Megatrading Tbk.
ERAA,Erajaya Swasembada Tbk.
ERTX,Eratex Djaja Tbk.
ESIP,Sinergi Inti Plastindo Tbk.
ESIP-W,Waran Seri I Sinergi Inti Plastindo Tbk.
ESSA,Surya Esa Perkasa Tbk.
ESTI,Ever Shine Tex Tbk.
ETWA,Eterindo Wahanatama Tbk
EXCL,XL Axiata Tbk.
FAST,Fast Food Indonesia Tbk.
FASW,Fajar Surya Wisesa Tbk.
FILM,MD Pictures Tbk.
FINN,First Indo American Leasing Tbk.
FIRE,Alfa Energi Investama Tbk.
FIRE-W,Waran Seri I Alfa Energi Investama Tbk.
FISH,FKS Multi Agro Tbk.
FITT,Hotel Fitra International Tbk.
FITT-W,Waran Seri I Hotel Fitra International T
FMII,Fortune Mate Indonesia Tbk
FOOD,Sentra Food Indonesia Tbk.
FORU,Fortune Indonesia Tbk
FORZ,Forza Land Indonesia Tbk.
FORZ-W,Waran Seri I Forza Land Indonesia Tbk.
FPNI,Lotte Chemical Titan Tbk.
FREN,Smartfren Telecom Tbk.
FREN-W,Waran Seri II Smartfren Telecom Tbk.
FUJI,Fuji Finance Indonesia Tbk.
GAMA,Gading Development Tbk.
GDST,Gunawan Dianjaya Steel Tbk.
GDYR,Goodyear Indonesia Tbk.
GEMA,Gema Grahasarana Tbk.
GEMS,Golden Energy Mines Tbk.
GGRM,Gudang Garam Tbk.
GGRP,Gunung Raja Paksi Tbk.
GHON,Gihon Telekomunikasi Indonesia Tbk.
GIAA,Garuda Indonesia (Persero) Tbk.
GJTL,Gajah Tunggal Tbk.
GLOB,Global Teleshop Tbk.
GLVA,Galva Technologies Tbk.
GMFI,Garuda Maintenance Facility Aero Asia Tb
GMTD,Gowa Makassar Tourism Development Tbk.
GOLD,Visi Telekomunikasi Infrastruktur Tbk.
GOLL,Golden Plantation Tbk.
GOOD,Garudafood Putra Putri Jaya Tbk.
GPRA,Perdana Gapuraprima Tbk.
GREN,Evergreen Invesco Tbk.
GSMF,Equity Development Investment Tbk.
GTBO,Garda Tujuh Buana Tbk
GWSA,Greenwood Sejahtera Tbk.
GZCO,Gozco Plantations Tbk.
HADE,Himalaya Energi Perkasa Tbk.
HDFA,Radana Bhaskara Finance Tbk.
HDIT,Hensel Davest Indonesia Tbk.
HDTX,Panasia Indo Resources Tbk.
HEAL,Medikaloka Hermina Tbk.
HELI,Jaya Trishindo Tbk.
HELI-W,Waran Seri I Jaya Trishindo Tbk.
HERO,Hero Supermarket Tbk.
HEXA,Hexindo Adiperkasa Tbk.
HITS,Humpuss Intermoda Transportasi Tbk.
HKMU,HK Metals Utama Tbk.
HMSP,H.M. Sampoerna Tbk.
HOKI,Buyung Poetra Sembada Tbk.
HOKI-W,Waran Seri I Buyung Poetra Sembada Tbk.
HOME,Hotel Mandarine Regency Tbk.
HOTL,Saraswati Griya Lestari Tbk.
HRME,Menteng Heritage Realty Tbk.
HRTA,Hartadinata Abadi Tbk.
HRUM,Harum Energy Tbk.
IATA,Indonesia Transport & Infrastructure Tbk
IBFN,Intan Baruprana Finance Tbk.
IBFN-W,Waran Seri I Intan Baruprana Finance Tbk
IBST,Inti Bangun Sejahtera Tbk.
ICBP,Indofood CBP Sukses Makmur Tbk.
ICON,Island Concepts Indonesia Tbk.
IDPR,Indonesia Pondasi Raya Tbk.
IFII,Indonesia Fibreboard Industry Tbk.
IFSH,Ifishdeco Tbk.
IGAR,Champion Pacific Indonesia Tbk.
IIKP,Inti Agri Resources Tbk
IKAI,Intikeramik Alamasri Industri Tbk.
IKBI,Sumi Indo Kabel Tbk.
IMAS,Indomobil Sukses Internasional Tbk.
IMJS,Indomobil Multi Jasa Tbk.
IMPC,Impack Pratama Industri Tbk.
INAF,Indofarma (Persero) Tbk.
INAI,Indal Aluminium Industry Tbk.
INCF,Indo Komoditi Korpora Tbk.
INCI,Intanwijaya Internasional Tbk
INCO,Vale Indonesia Tbk.
INDF,Indofood Sukses Makmur Tbk.
INDO,Royalindo Investa Wijaya Tbk.
INDO-W,Waran Seri I Royalindo Investa Wijaya Tb
INDR,Indo-Rama Synthetics Tbk.
INDS,Indospring Tbk.
INDX,Tanah Laut Tbk
INDY,Indika Energy Tbk.
INKP,Indah Kiat Pulp & Paper Tbk.
INOV,Inocycle Technology Group Tbk.
INPC,Bank Artha Graha Internasional Tbk.
INPC-W,Waran Seri I Bank Artha Graha Internasio
INPP,Indonesian Paradise Property Tbk.
INPS,Indah Prakasa Sentosa Tbk.
INRU,Toba Pulp Lestari Tbk.
INTA,Intraco Penta Tbk.
INTA-W,Waran Seri I Intraco Penta Tbk.
INTD,Inter Delta Tbk
INTP,Indocement Tunggal Prakarsa Tbk.
IPCC,Indonesia Kendaraan Terminal Tbk.
IPCM,Jasa Armada Indonesia Tbk.
IPOL,Indopoly Swakarsa Industry Tbk.
IPTV,MNC Vision Networks Tbk.
IPTV-W,Waran Seri I MNC Vision Networks Tbk.
IRRA,Itama Ranoraya Tbk.
ISAT,Indosat Tbk.
ISSP,Steel Pipe Industry of Indonesia Tbk.
ITIC,Indonesian Tobacco Tbk.
ITMA,Sumber Energi Andalan Tbk.
ITMA-W,Waran Seri I Sumber Energi Andalan Tbk.
ITMG,Indo Tambangraya Megah Tbk.
JAST,Jasnita Telekomindo Tbk.
JAWA,Jaya Agra Wattie Tbk.
JAYA,Armada Berjaya Trans Tbk.
JAYA-W,Waran Seri I Armada Berjaya Trans Tbk.
JECC,Jembo Cable Company Tbk.
JGLE,Graha Andrasentra Propertindo Tbk.
JIHD,Jakarta International Hotels & Developme
JKON,Jaya Konstruksi Manggala Pratama Tbk.
JKSW,Jakarta Kyoei Steel Works Tbk.
JMAS,Asuransi Jiwa Syariah Jasa Mitra Abadi T
JPFA,Japfa Comfeed Indonesia Tbk.
JRPT,Jaya Real Property Tbk.
JSKY,Sky Energy Indonesia Tbk.
JSMR,Jasa Marga (Persero) Tbk.
JSPT,Jakarta Setiabudi Internasional Tbk.
JTPE,Jasuindo Tiga Perkasa Tbk.
KAEF,Kimia Farma (Persero) Tbk.
KARW,ICTSI Jasa Prima Tbk.
KAYU,Darmi Bersaudara Tbk.
KBLI,KMI Wire & Cable Tbk.
KBLM,Kabelindo Murni Tbk.
KBLV,First Media Tbk.
KBRI,Kertas Basuki Rachmat Indonesia Tbk.
KDSI,Kedawung Setia Industrial Tbk.
KEEN,Kencana Energi Lestari Tbk.
KEJU,Mulia Boga Raya Tbk.
KIAS,Keramika Indonesia Assosiasi Tbk.
KICI,Kedaung Indah Can Tbk
KIJA,Kawasan Industri Jababeka Tbk.
KINO,Kino Indonesia Tbk.
KIOS,Kioson Komersial Indonesia Tbk.
KIOS-W,Waran Seri I Kioson Komersial Indonesia
KJEN,Krida Jaringan Nusantara Tbk.
KKGI,Resource Alam Indonesia Tbk.
KLBF,Kalbe Farma Tbk.
KMTR,Kirana Megatara Tbk.
KOBX,Kobexindo Tractors Tbk.
KOIN,Kokoh Inti Arebama Tbk
KONI,Perdana Bangun Pusaka Tbk
KOPI,Mitra Energi Persada Tbk.
KOTA,DMS Propertindo Tbk.
KOTA-W,Waran Seri I DMS Propertindo Tbk.
KPAL,Steadfast Marine Tbk.
KPAS,Cottonindo Ariesta Tbk.
KPAS-W,Waran Seri I Cottonindo Ariesta Tbk.
KPIG,MNC Land Tbk.
KRAH,Grand Kartech Tbk.
KRAS,Krakatau Steel (Persero) Tbk.
KREN,Kresna Graha Investama Tbk.
LAND,Trimitra Propertindo Tbk.
LAPD,Leyand International Tbk.
LCGP,Eureka Prima Jakarta Tbk.
LCKM,LCK Global Kedaton Tbk.
LEAD,Logindo Samudramakmur Tbk.
LIFE,Asuransi Jiwa Sinarmas MSIG Tbk.
LINK,Link Net Tbk.
LION,Lion Metal Works Tbk.
LMAS,Limas Indonesia Makmur Tbk
LMPI,Langgeng Makmur Industri Tbk.
LMSH,Lionmesh Prima Tbk.
LPCK,Lippo Cikarang Tbk
LPGI,Lippo General Insurance Tbk.
LPIN,Multi Prima Sejahtera Tbk
LPKR,Lippo Karawaci Tbk.
LPLI,Star Pacific Tbk
LPPF,Matahari Department Store Tbk.
LPPS,Lippo Securities Tbk.
LRNA,Eka Sari Lorena Transport Tbk.
LSIP,PP London Sumatra Indonesia Tbk.
LTLS,Lautan Luas Tbk.
LUCK,Sentral Mitra Informatika Tbk.
MABA,Marga Abhinaya Abadi Tbk.
MAGP,Multi Agro Gemilang Plantation Tbk.
MAIN,Malindo Feedmill Tbk.
MAMI,Mas Murni Indonesia Tbk
MAMI-W,Waran Seri I Mas Murni Indonesia Tbk.
MAMIP,Mas Murni Tbk (Saham Preferen)
MAPA,Map Aktif Adiperkasa Tbk.
MAPB,MAP Boga Adiperkasa Tbk.
MAPI,Mitra Adiperkasa Tbk.
MARI,Mahaka Radio Integra Tbk.
MARK,Mark Dynamics Indonesia Tbk.
MASA,Multistrada Arah Sarana Tbk.
MAYA,Bank Mayapada Internasional Tbk.
MBAP,Mitrabara Adiperdana Tbk.
MBSS,Mitrabahtera Segara Sejati Tbk.
MBTO,Martina Berto Tbk.
MCAS,M Cash Integrasi Tbk.
MCOR,Bank China Construction Bank Indonesia T
MDIA,Intermedia Capital Tbk.
MDKA,Merdeka Copper Gold Tbk.
MDKI,Emdeki Utama Tbk.
MDLN,Modernland Realty Tbk.
MDRN,Modern Internasional Tbk.
MEDC,Medco Energi Internasional Tbk.
MEDC-W,Waran Seri I Medco Energi Internasional
MEGA,Bank Mega Tbk.
MERK,Merck Tbk.
META,Nusantara Infrastructure Tbk.
MFIN,Mandala Multifinance Tbk.
MFMI,Multifiling Mitra Indonesia Tbk.
MGNA,Magna Investama Mandiri Tbk.
MGRO,Mahkota Group Tbk.
MICE,Multi Indocitra Tbk.
MIDI,Midi Utama Indonesia Tbk.
MIKA,Mitra Keluarga Karyasehat Tbk.
MINA,Sanurhasta Mitra Tbk.
MIRA,Mitra International Resources Tbk.
MITI,Mitra Investindo Tbk.
MKNT,Mitra Komunikasi Nusantara Tbk.
MKPI,Metropolitan Kentjana Tbk.
MLBI,Multi Bintang Indonesia Tbk.
MLIA,Mulia Industrindo Tbk
MLPL,Multipolar Tbk.
MLPT,Multipolar Technology Tbk.
MMLP,Mega Manunggal Property Tbk.
MNCN,Media Nusantara Citra Tbk.
MOLI,Madusari Murni Indah Tbk.
MPMX,Mitra Pinasthika Mustika Tbk.
MPOW,Megapower Makmur Tbk.
MPPA,Matahari Putra Prima Tbk.
MPRO,Maha Properti Indonesia Tbk.
MRAT,Mustika Ratu Tbk.
MREI,Maskapai Reasuransi Indonesia Tbk.
MSIN,MNC Studios International Tbk.
MSKY,MNC Sky Vision Tbk.
MTDL,Metrodata Electronics Tbk.
MTFN,Capitalinc Investment Tbk.
MTLA,Metropolitan Land Tbk.
MTPS,Meta Epsi Tbk.
MTPS-W,Waran Seri I Meta Epsi Tbk.
MTRA,Mitra Pemuda Tbk.
MTSM,Metro Realty Tbk.
MTWI,Malacca Trust Wuwungan Insurance Tbk.
MYOH,Samindo Resources Tbk.
MYOR,Mayora Indah Tbk.
MYRX,Hanson International Tbk.
MYRXP,Saham Seri B Hanson International Tbk.
MYTX,Asia Pacific Investama Tbk.
NASA,Ayana Land International Tbk.
NASA-W,Waran Seri I Ayana Land International Tb
NATO,Nusantara Properti Internasional Tbk.
NATO-W,Waran Seri I Nusantara Properti Internas
NELY,Pelayaran Nelly Dwi Putri Tbk.
NFCX,NFC Indonesia Tbk.
NICK,Charnic Capital Tbk.
NIKL,Pelat Timah Nusantara Tbk.
NIPS,Nipress Tbk.
NIRO,City Retail Developments Tbk.
NISP,Bank OCBC NISP Tbk.
NOBU,Bank Nationalnobu Tbk.
NRCA,Nusa Raya Cipta Tbk.
NUSA,Sinergi Megah Internusa Tbk.
NUSA-W,Waran Seri I Sinergi Megah Internusa Tbk
NZIA,Nusantara Almazia Tbk.
NZIA-W,Waran Seri I Nusantara Almazia Tbk.
OASA,Protech Mitra Perkasa Tbk.
OCAP,Onix Capital Tbk.
OKAS,Ancora Indonesia Resources Tbk.
OMRE,Indonesia Prima Property Tbk
OPMS,Optima Prima Metal Sinergi Tbk.
PADI,Minna Padi Investama Sekuritas Tbk.
PALM,Provident Agro Tbk.
PAMG,Bima Sakti Pertiwi Tbk.
PANI,Pratama Abadi Nusa Industri Tbk.
PANR,Panorama Sentrawisata Tbk.
PANS,Panin Sekuritas Tbk.
PBID,Panca Budi Idaman Tbk.
PBRX,Pan Brothers Tbk.
PBSA,Paramita Bangun Sarana Tbk.
PCAR,Prima Cakrawala Abadi Tbk.
PDES,Destinasi Tirta Nusantara Tbk
PEGE,Panca Global Kapital Tbk.
PEHA,Phapros Tbk.
PGAS,Perusahaan Gas Negara Tbk.
PGJO,Tourindo Guide Indonesia Tbk.
PGLI,Pembangunan Graha Lestari Indah Tbk.
PICO,Pelangi Indah Canindo Tbk
PJAA,Pembangunan Jaya Ancol Tbk.
PKPK,Perdana Karya Perkasa Tbk
PLAS,Polaris Investama Tbk
PLIN,Plaza Indonesia Realty Tbk.
PMJS,Putra Mandiri Jembar Tbk.
PNBN,Bank Pan Indonesia Tbk
PNBS,Bank Panin Dubai Syariah Tbk.
PNIN,Paninvest Tbk.
PNLF,Panin Financial Tbk.
PNSE,Pudjiadi & Sons Tbk.
POLA,Pool Advista Finance Tbk.
POLA-W,Waran Seri I Pool Advista Finance Tbk.
POLI,Pollux Investasi Internasional Tbk.
POLL,Pollux Properti Indonesia Tbk.
POLU,Golden Flower Tbk.
POLY,Asia Pacific Fibers Tbk
POOL,Pool Advista Indonesia Tbk.
POOL-W,Waran Seri II Pool Advista Indonesia Tbk
PORT,Nusantara Pelabuhan Handal Tbk.
POSA,Bliss Properti Indonesia Tbk.
POSA-W,Waran Seri I Bliss Properti Indonesia Tb
POWR,Cikarang Listrindo Tbk.
PPRE,PP Presisi Tbk.
PPRO,PP Properti Tbk.
PRAS,Prima Alloy Steel Universal Tbk.
PRDA,Prodia Widyahusada Tbk.
PRIM,Royal Prima Tbk.
PRIM-W,Waran Seri I Royal Prima Tbk.
PSAB,J Resources Asia Pasifik Tbk.
PSDN,Prasidha Aneka Niaga Tbk
PSGO,Palma Serasih Tbk.
PSKT,Red Planet Indonesia Tbk.
PSSI,Pelita Samudera Shipping Tbk.
PTBA,Bukit Asam Tbk.
PTIS,Indo Straits Tbk.
PTPP,PP (Persero) Tbk.
PTPW,Pratama Widya Tbk.
PTRO,Petrosea Tbk.
PTSN,Sat Nusapersada Tbk
PTSP,Pioneerindo Gourmet International Tbk.
PUDP,Pudjiadi Prestige Tbk.
PURA,Putra Rajawali Kencana Tbk.
PURA-W,Waran Seri I Putra Rajawali Kencana Tbk.
PURE,Trinitan Metals and Minerals Tbk.
PURE-W,Waran Seri I Trinitan Metals and Mineral
PWON,Pakuwon Jati Tbk.
PYFA,Pyridam Farma Tbk
PZZA,Sarimelati Kencana Tbk.
R-ABFII,Asian Bond Fund - Indonesia Bond Index F
R-LQ45X,Premier ETF LQ-45 (R-LQ45X)
RAJA,Rukun Raharja Tbk.
RALS,Ramayana Lestari Sentosa Tbk.
RANC,Supra Boga Lestari Tbk.
RBMS,Ristia Bintang Mahkotasejati Tbk.
RDTX,Roda Vivatex Tbk
REAL,Repower Asia Indonesia Tbk.
REAL-W,Waran Seri I Repower Asia Indonesia Tbk.
RELI,Reliance Sekuritas Indonesia Tbk.
RICY,Ricky Putra Globalindo Tbk
RIGS,Rig Tenders Indonesia Tbk.
RIMO,Rimo International Lestari Tbk
RISE,Jaya Sukses Makmur Sentosa Tbk.
RMBA,Bentoel Internasional Investama Tbk.
RODA,Pikko Land Development Tbk.
ROTI,Nippon Indosari Corpindo Tbk.
RUIS,Radiant Utama Interinsco Tbk.
SAFE,Steady Safe Tbk
SAME,Sarana Meditama Metropolitan Tbk.
SAPX,Satria Antaran Prima Tbk.
SATU,Kota Satu Properti Tbk.
SCBD,Danayasa Arthatama Tbk.
SCCO,Supreme Cable Manufacturing & Commerce T
SCMA,Surya Citra Media Tbk.
SCPI,Merck Sharp Dohme Pharma Tbk.
SDMU,Sidomulyo Selaras Tbk.
SDPC,Millennium Pharmacon International Tbk.
SDRA,Bank Woori Saudara Indonesia 1906 Tbk.
SFAN,Surya Fajar Capital Tbk.
SFAN-W,Waran Seri I Surya Fajar Capital Tbk.
SGRO,Sampoerna Agro Tbk.
SHID,Hotel Sahid Jaya International Tbk.
SHIP,Sillo Maritime Perdana Tbk.
SIDO,Industri Jamu dan Farmasi Sido Muncul Tb
SILO,Siloam International Hospitals Tbk.
SIMA,Siwani Makmur Tbk
SIMP,Salim Ivomas Pratama Tbk.
SINI,Singaraja Putra Tbk.
SINI-W,Waran Seri I Singaraja Putra Tbk.
SIPD,Sierad Produce Tbk.
SKBM,Sekar Bumi Tbk.
SKLT,Sekar Laut Tbk.
SKRN,Superkrane Mitra Utama Tbk.
SKYB,Northcliff Citranusa Indonesia Tbk.
SLIS,Gaya Abadi Sempurna Tbk.
SMAR,Smart Tbk.
SMBR,Semen Baturaja (Persero) Tbk.
SMCB,Solusi Bangun Indonesia Tbk.
SMDM,Suryamas Dutamakmur Tbk.
SMDR,Samudera Indonesia  Tbk.
SMGR,Semen Indonesia (Persero) Tbk.
SMKL,Satyamitra Kemas Lestari Tbk.
SMKL-W,Waran Seri I Satyamitra Kemas Lestari Tb
