ICBP,2019-10-23,1519150,1890250
ICON,2019-10-23,0,0
IDPR,2019-10-23,49600,0
IGAR,2019-10-23,0,0
IIKP,2019-10-23,0,0
IKAI,2019-10-23,394100,327500
IKBI,2019-10-23,0,0
IMAS,2019-10-23,16400,8000
IMJS,2019-10-23,0,0
IMPC,2019-10-23,0,0
INAF,2019-10-23,45100,47700
INAI,2019-10-23,0,0
INCF,2019-10-23,0,0
INCI,2019-10-23,0,0
INCO,2019-10-23,2037500,1502600
INDF,2019-10-23,4637550,4201750
INDR,2019-10-23,0,20000
INDS,2019-10-23,83500,28800
INDX,2019-10-23,0,0
INDY,2019-10-23,3357478,574100
INKP,2019-10-23,1298175,1396475
INOV,2019-10-23,0,0
INPC,2019-10-23,0,0
INPP,2019-10-23,0,0
INPS,2019-10-23,0,0
INRU,2019-10-23,0,0
INTA,2019-10-23,0,0
INTD,2019-10-23,0,0
INTP,2019-10-23,457900,1821200
IPCC,2019-10-23,228000,0
IPCM,2019-10-23,0,0
IPOL,2019-10-23,0,0
IPTV,2019-10-23,23976000,26292300
IRRA,2019-10-23,0,0
ISAT,2019-10-23,1968700,730800
ISSP,2019-10-23,47100,1038500
ITIC,2019-10-23,0,0
ITMA,2019-10-23,0,0
ITMG,2019-10-23,325200,837600
ITTG,2019-10-23,0,0
JAST,2019-10-23,0,0
JAWA,2019-10-23,0,0
JAYA,2019-10-23,0,733100
JECC,2019-10-23,0,0
JGLE,2019-10-23,5000,0
JIHD,2019-10-23,0,0
JKON,2019-10-23,0,0
JKSW,2019-10-23,0,0
JMAS,2019-10-23,0,0
JPFA,2019-10-23,23090300,10164800
JRPT,2019-10-23,221800,1819160
JSKY,2019-10-23,306200,429500
JSMR,2019-10-23,982650,1234250
JSPT,2019-10-23,0,0
JTPE,2019-10-23,61200,0
KAEF,2019-10-23,0,0
KARW,2019-10-23,0,0
KAYU,2019-10-23,0,0
KBLI,2019-10-23,1055500,325400
KBLM,2019-10-23,0,0
KBLV,2019-10-23,0,0
KBRI,2019-10-23,0,0
KDSI,2019-10-23,0,0
KEEN,2019-10-23,224700,0
KIAS,2019-10-23,0,0
KICI,2019-10-23,0,2300
KIJA,2019-10-23,561757,99
KINO,2019-10-23,35000,10600
KIOS,2019-10-23,0,0
KJEN,2019-10-23,0,0
KKGI,2019-10-23,0,10000
KLBF,2019-10-23,22920675,19932675
KMTR,2019-10-23,0,0
KOBX,2019-10-23,0,0
KOIN,2019-10-23,0,0
KONI,2019-10-23,0,0
KOPI,2019-10-23,0,0
KOTA,2019-10-23,0,0
KPAL,2019-10-23,86900,0
KPAS,2019-10-23,114600,0
KPIG,2019-10-23,20849400,21466000
KRAH,2019-10-23,0,0
KRAS,2019-10-23,22600,81400
KREN,2019-10-23,377200,695500
LAND,2019-10-23,0,0
LAPD,2019-10-23,0,0
LCGP,2019-10-23,0,0
LCKM,2019-10-23,0,6000
LEAD,2019-10-23,0,0
LIFE,2019-10-23,3100,0
LINK,2019-10-23,151800,84000
LION,2019-10-23,0,0
LMAS,2019-10-23,0,0
LMPI,2019-10-23,0,0
LMSH,2019-10-23,0,0
LPCK,2019-10-23,151400,147675
LPGI,2019-10-23,300,0
LPIN,2019-10-23,0,0
LPKR,2019-10-23,7793400,104652
LPLI,2019-10-23,0,0
LPPF,2019-10-23,9115950,3385550
LPPS,2019-10-23,0,0
LRNA,2019-10-23,0,0
LSIP,2019-10-23,3150600,653600
LTLS,2019-10-23,0,29100
LUCK,2019-10-23,70900,0
MABA,2019-10-23,0,0
MAGP,2019-10-23,0,0
MAIN,2019-10-23,335500,33600
MAMI,2019-10-23,2184700,4837200
MAMIP,2019-10-23,0,0
MAPA,2019-10-23,183100,46700
MAPB,2019-10-23,0,0
MAPI,2019-10-23,10865800,5158200
MARI,2019-10-23,0,0
MARK,2019-10-23,0,0
MASA,2019-10-23,0,0
MAYA,2019-10-23,0,0
MBAP,2019-10-23,0,0
MBSS,2019-10-23,0,0
MBTO,2019-10-23,0,0
MCAS,2019-10-23,4700,20000
MCOR,2019-10-23,0,0
MDIA,2019-10-23,9800,0
MDKA,2019-10-23,13362500,9022500
MDKI,2019-10-23,0,0
MDLN,2019-10-23,726400,5000
MDRN,2019-10-23,0,0
MEDC,2019-10-23,369000,1290300
MEGA,2019-10-23,0,0
MERK,2019-10-23,0,400
META,2019-10-23,0,0
MFIN,2019-10-23,0,0
MFMI,2019-10-23,0,0
MGNA,2019-10-23,0,0
MGRO,2019-10-23,0,0
MICE,2019-10-23,500,0
MIDI,2019-10-23,0,0
MIKA,2019-10-23,401700,1596800
MINA,2019-10-23,1300,3150
MIRA,2019-10-23,0,0
MITI,2019-10-23,0,0
MKNT,2019-10-23,507900,682100
MKPI,2019-10-23,0,1591100
MLBI,2019-10-23,0,0
MLIA,2019-10-23,0,644200
MLPL,2019-10-23,0,870000
MLPT,2019-10-23,0,0
MMLP,2019-10-23,2850000,0
MNCN,2019-10-23,7002350,7131250
MOLI,2019-10-23,0,0
MPMX,2019-10-23,12400,700
MPOW,2019-10-23,0,0
MPPA,2019-10-23,0,0
MPRO,2019-10-23,0,17300
MRAT,2019-10-23,0,0
MREI,2019-10-23,0,0
MSIN,2019-10-23,11435800,17336000
MSKY,2019-10-23,0,0
MTDL,2019-10-23,151700,3502800
MTFN,2019-10-23,0,0
MTLA,2019-10-23,300,0
MTPS,2019-10-23,0,0
MTRA,2019-10-23,0,0
MTSM,2019-10-23,0,0
MTWI,2019-10-23,0,0
MYOH,2019-10-23,55100,0
MYOR,2019-10-23,72300,1153600
MYRX,2019-10-23,3150800,390500
MYRXP,2019-10-23,0,0
MYTX,2019-10-23,0,0
NASA,2019-10-23,0,6263
NATO,2019-10-23,23700,1021600
NELY,2019-10-23,0,0
NFCX,2019-10-23,118200,0
NICK,2019-10-23,0,0
NIKL,2019-10-23,90000,5500
NIPS,2019-10-23,0,0
NIRO,2019-10-23,13600,27399
NISP,2019-10-23,0,0
NOBU,2019-10-23,0,0
NRCA,2019-10-23,0,0
NUSA,2019-10-23,109100,10215200
NZIA,2019-10-23,61300,72300
OASA,2019-10-23,0,0
OCAP,2019-10-23,0,0
OKAS,2019-10-23,0,0
OMRE,2019-10-23,0,0
OPMS,2019-10-23,0,0
PADI,2019-10-23,0,0
PALM,2019-10-23,0,0
PAMG,2019-10-23,0,0
PANI,2019-10-23,0,0
PANR,2019-10-23,0,0
PANS,2019-10-23,0,0
PBID,2019-10-23,100,0
PBRX,2019-10-23,330300,0
PBSA,2019-10-23,0,0
PCAR,2019-10-23,300,0
PDES,2019-10-23,0,0
PEGE,2019-10-23,0,0
PEHA,2019-10-23,0,0
PGAS,2019-10-23,4817256,26567956
PGLI,2019-10-23,0,0
PICO,2019-10-23,3400,1000
PJAA,2019-10-23,2400,0
PKPK,2019-10-23,0,0
PLAS,2019-10-23,0,0
PLIN,2019-10-23,0,100
PNBN,2019-10-23,115200,15600
PNBS,2019-10-23,0,0
PNIN,2019-10-23,76900,100
PNLF,2019-10-23,11939900,10533300
PNSE,2019-10-23,0,0
POLA,2019-10-23,0,0
POLI,2019-10-23,0,0
POLL,2019-10-23,1600,25300
POLU,2019-10-23,0,0
POLY,2019-10-23,0,0
POOL,2019-10-23,885100,591300
PORT,2019-10-23,0,0
POSA,2019-10-23,0,63000
POWR,2019-10-23,1345400,105700
PPRE,2019-10-23,9000,142300
PPRO,2019-10-23,0,6555369
PRAS,2019-10-23,0,0
PRDA,2019-10-23,36300,0
PRIM,2019-10-23,15800,0
PSAB,2019-10-23,1169800,300000
PSDN,2019-10-23,0,0
PSKT,2019-10-23,0,0
PSSI,2019-10-23,35300,117300
PTBA,2019-10-23,17215079,11530450
PTIS,2019-10-23,0,0
PTPP,2019-10-23,7663200,7873600
PTRO,2019-10-23,0,3000
PTSN,2019-10-23,0,0
